# Energy    Summed_PDOS
  -27.116000    -0.000002
  -27.106000    -0.000002
  -27.096000    -0.000003
  -27.086000    -0.000003
  -27.076000    -0.000003
  -27.066000    -0.000003
  -27.056000    -0.000004
  -27.046000    -0.000004
  -27.036000    -0.000004
  -27.026000    -0.000005
  -27.016000    -0.000005
  -27.006000    -0.000005
  -26.996000    -0.000006
  -26.986000    -0.000006
  -26.976000    -0.000006
  -26.966000    -0.000007
  -26.956000    -0.000007
  -26.946000    -0.000008
  -26.936000    -0.000008
  -26.926000    -0.000009
  -26.916000    -0.000010
  -26.906000    -0.000010
  -26.896000    -0.000011
  -26.886000    -0.000012
  -26.876000    -0.000012
  -26.866000    -0.000013
  -26.856000    -0.000014
  -26.846000    -0.000015
  -26.836000    -0.000016
  -26.826000    -0.000017
  -26.816000    -0.000018
  -26.806000    -0.000019
  -26.796000    -0.000020
  -26.786000    -0.000022
  -26.776000    -0.000023
  -26.766000    -0.000024
  -26.756000    -0.000026
  -26.746000    -0.000027
  -26.736000    -0.000029
  -26.726000    -0.000030
  -26.716000    -0.000032
  -26.706000    -0.000034
  -26.696000    -0.000036
  -26.686000    -0.000038
  -26.676000    -0.000040
  -26.666000    -0.000042
  -26.656000    -0.000044
  -26.646000    -0.000046
  -26.636000    -0.000049
  -26.626000    -0.000051
  -26.616000    -0.000054
  -26.606000    -0.000056
  -26.596000    -0.000059
  -26.586000    -0.000062
  -26.576000    -0.000065
  -26.566000    -0.000068
  -26.556000    -0.000071
  -26.546000    -0.000074
  -26.536000    -0.000077
  -26.526000    -0.000081
  -26.516000    -0.000084
  -26.506000    -0.000088
  -26.496000    -0.000091
  -26.486000    -0.000095
  -26.476000    -0.000099
  -26.466000    -0.000103
  -26.456000    -0.000106
  -26.446000    -0.000111
  -26.436000    -0.000114
  -26.426000    -0.000118
  -26.416000    -0.000123
  -26.406000    -0.000127
  -26.396000    -0.000131
  -26.386000    -0.000135
  -26.376000    -0.000139
  -26.366000    -0.000144
  -26.356000    -0.000148
  -26.346000    -0.000152
  -26.336000    -0.000156
  -26.326000    -0.000160
  -26.316000    -0.000164
  -26.306000    -0.000168
  -26.296000    -0.000172
  -26.286000    -0.000176
  -26.276000    -0.000179
  -26.266000    -0.000183
  -26.256000    -0.000186
  -26.246000    -0.000189
  -26.236000    -0.000192
  -26.226000    -0.000195
  -26.216000    -0.000197
  -26.206000    -0.000199
  -26.196000    -0.000201
  -26.186000    -0.000203
  -26.176000    -0.000204
  -26.166000    -0.000205
  -26.156000    -0.000205
  -26.146000    -0.000205
  -26.136000    -0.000205
  -26.126000    -0.000204
  -26.116000    -0.000202
  -26.106000    -0.000201
  -26.096000    -0.000198
  -26.086000    -0.000195
  -26.076000    -0.000191
  -26.066000    -0.000186
  -26.056000    -0.000181
  -26.046000    -0.000175
  -26.036000    -0.000168
  -26.026000    -0.000161
  -26.016000    -0.000152
  -26.006000    -0.000143
  -25.996000    -0.000133
  -25.986000    -0.000122
  -25.976000    -0.000110
  -25.966000    -0.000097
  -25.956000    -0.000083
  -25.946000    -0.000067
  -25.936000    -0.000051
  -25.926000    -0.000034
  -25.916000    -0.000015
  -25.906000     0.000005
  -25.896000     0.000026
  -25.886000     0.000048
  -25.876000     0.000071
  -25.866000     0.000096
  -25.856000     0.000122
  -25.846000     0.000150
  -25.836000     0.000178
  -25.826000     0.000208
  -25.816000     0.000240
  -25.806000     0.000273
  -25.796000     0.000307
  -25.786000     0.000343
  -25.776000     0.000379
  -25.766000     0.000419
  -25.756000     0.000458
  -25.746000     0.000499
  -25.736000     0.000542
  -25.726000     0.000585
  -25.716000     0.000631
  -25.706000     0.000677
  -25.696000     0.000727
  -25.686000     0.000775
  -25.676000     0.000825
  -25.666000     0.000876
  -25.656000     0.000930
  -25.646000     0.000984
  -25.636000     0.001040
  -25.626000     0.001096
  -25.616000     0.001154
  -25.606000     0.001213
  -25.596000     0.001272
  -25.586000     0.001332
  -25.576000     0.001393
  -25.566000     0.001455
  -25.556000     0.001518
  -25.546000     0.001582
  -25.536000     0.001646
  -25.526000     0.001711
  -25.516000     0.001775
  -25.506000     0.001841
  -25.496000     0.001907
  -25.486000     0.001971
  -25.476000     0.002037
  -25.466000     0.002103
  -25.456000     0.002169
  -25.446000     0.002235
  -25.436000     0.002301
  -25.426000     0.002366
  -25.416000     0.002431
  -25.406000     0.002495
  -25.396000     0.002559
  -25.386000     0.002622
  -25.376000     0.002684
  -25.366000     0.002742
  -25.356000     0.002810
  -25.346000     0.002866
  -25.336000     0.002921
  -25.326000     0.002978
  -25.316000     0.003032
  -25.306000     0.003085
  -25.296000     0.003137
  -25.286000     0.003189
  -25.276000     0.003239
  -25.266000     0.003283
  -25.256000     0.003338
  -25.246000     0.003371
  -25.236000     0.003414
  -25.226000     0.003456
  -25.216000     0.003498
  -25.206000     0.003529
  -25.196000     0.003559
  -25.186000     0.003588
  -25.176000     0.003617
  -25.166000     0.003635
  -25.156000     0.003662
  -25.146000     0.003688
  -25.136000     0.003704
  -25.126000     0.003717
  -25.116000     0.003737
  -25.106000     0.003738
  -25.096000     0.003748
  -25.086000     0.003758
  -25.076000     0.003758
  -25.066000     0.003758
  -25.056000     0.003748
  -25.046000     0.003738
  -25.036000     0.003737
  -25.026000     0.003717
  -25.016000     0.003705
  -25.006000     0.003689
  -24.996000     0.003664
  -24.986000     0.003657
  -24.976000     0.003629
  -24.966000     0.003600
  -24.956000     0.003561
  -24.946000     0.003530
  -24.936000     0.003500
  -24.926000     0.003468
  -24.916000     0.003427
  -24.906000     0.003384
  -24.896000     0.003340
  -24.886000     0.003296
  -24.876000     0.003244
  -24.866000     0.003203
  -24.856000     0.003153
  -24.846000     0.003101
  -24.836000     0.003047
  -24.826000     0.002993
  -24.816000     0.002928
  -24.806000     0.002873
  -24.796000     0.002816
  -24.786000     0.002759
  -24.776000     0.002691
  -24.766000     0.002632
  -24.756000     0.002569
  -24.746000     0.002505
  -24.736000     0.002443
  -24.726000     0.002378
  -24.716000     0.002312
  -24.706000     0.002248
  -24.696000     0.002182
  -24.686000     0.002116
  -24.676000     0.002050
  -24.666000     0.001984
  -24.656000     0.001918
  -24.646000     0.001852
  -24.636000     0.001786
  -24.626000     0.001721
  -24.616000     0.001658
  -24.606000     0.001593
  -24.596000     0.001530
  -24.586000     0.001466
  -24.576000     0.001404
  -24.566000     0.001343
  -24.556000     0.001283
  -24.546000     0.001224
  -24.536000     0.001164
  -24.526000     0.001106
  -24.516000     0.001050
  -24.506000     0.000995
  -24.496000     0.000939
  -24.486000     0.000887
  -24.476000     0.000834
  -24.466000     0.000784
  -24.456000     0.000734
  -24.446000     0.000687
  -24.436000     0.000639
  -24.426000     0.000593
  -24.416000     0.000550
  -24.406000     0.000506
  -24.396000     0.000465
  -24.386000     0.000424
  -24.376000     0.000386
  -24.366000     0.000350
  -24.356000     0.000313
  -24.346000     0.000279
  -24.336000     0.000246
  -24.326000     0.000214
  -24.316000     0.000183
  -24.306000     0.000154
  -24.296000     0.000127
  -24.286000     0.000101
  -24.276000     0.000076
  -24.266000     0.000052
  -24.256000     0.000029
  -24.246000     0.000008
  -24.236000    -0.000012
  -24.226000    -0.000031
  -24.216000    -0.000048
  -24.206000    -0.000065
  -24.196000    -0.000080
  -24.186000    -0.000094
  -24.176000    -0.000108
  -24.166000    -0.000120
  -24.156000    -0.000131
  -24.146000    -0.000142
  -24.136000    -0.000151
  -24.126000    -0.000160
  -24.116000    -0.000167
  -24.106000    -0.000174
  -24.096000    -0.000180
  -24.086000    -0.000186
  -24.076000    -0.000190
  -24.066000    -0.000194
  -24.056000    -0.000197
  -24.046000    -0.000200
  -24.036000    -0.000202
  -24.026000    -0.000204
  -24.016000    -0.000205
  -24.006000    -0.000205
  -23.996000    -0.000205
  -23.986000    -0.000205
  -23.976000    -0.000204
  -23.966000    -0.000203
  -23.956000    -0.000202
  -23.946000    -0.000200
  -23.936000    -0.000198
  -23.926000    -0.000195
  -23.916000    -0.000193
  -23.906000    -0.000190
  -23.896000    -0.000187
  -23.886000    -0.000183
  -23.876000    -0.000180
  -23.866000    -0.000176
  -23.856000    -0.000173
  -23.846000    -0.000169
  -23.836000    -0.000165
  -23.826000    -0.000161
  -23.816000    -0.000157
  -23.806000    -0.000153
  -23.796000    -0.000148
  -23.786000    -0.000144
  -23.776000    -0.000140
  -23.766000    -0.000136
  -23.756000    -0.000132
  -23.746000    -0.000128
  -23.736000    -0.000123
  -23.726000    -0.000119
  -23.716000    -0.000115
  -23.706000    -0.000111
  -23.696000    -0.000107
  -23.686000    -0.000103
  -23.676000    -0.000099
  -23.666000    -0.000096
  -23.656000    -0.000092
  -23.646000    -0.000088
  -23.636000    -0.000085
  -23.626000    -0.000081
  -23.616000    -0.000078
  -23.606000    -0.000075
  -23.596000    -0.000071
  -23.586000    -0.000068
  -23.576000    -0.000065
  -23.566000    -0.000062
  -23.556000    -0.000060
  -23.546000    -0.000057
  -23.536000    -0.000054
  -23.526000    -0.000052
  -23.516000    -0.000049
  -23.506000    -0.000047
  -23.496000    -0.000044
  -23.486000    -0.000042
  -23.476000    -0.000040
  -23.466000    -0.000038
  -23.456000    -0.000036
  -23.446000    -0.000034
  -23.436000    -0.000032
  -23.426000    -0.000031
  -23.416000    -0.000029
  -23.406000    -0.000027
  -23.396000    -0.000026
  -23.386000    -0.000025
  -23.376000    -0.000023
  -23.366000    -0.000022
  -23.356000    -0.000021
  -23.346000    -0.000019
  -23.336000    -0.000018
  -23.326000    -0.000017
  -23.316000    -0.000016
  -23.306000    -0.000015
  -23.296000    -0.000014
  -23.286000    -0.000013
  -23.276000    -0.000013
  -23.266000    -0.000012
  -23.256000    -0.000011
  -23.246000    -0.000010
  -23.236000    -0.000010
  -23.226000    -0.000009
  -23.216000    -0.000009
  -23.206000    -0.000008
  -23.196000    -0.000007
  -23.186000    -0.000007
  -23.176000    -0.000007
  -23.166000    -0.000006
  -23.156000    -0.000006
  -23.146000    -0.000005
  -23.136000    -0.000005
  -23.126000    -0.000005
  -23.116000    -0.000004
  -23.106000    -0.000004
  -23.096000    -0.000004
  -23.086000    -0.000003
  -23.076000    -0.000003
  -23.066000    -0.000003
  -23.056000    -0.000003
  -23.046000    -0.000003
  -23.036000    -0.000002
  -23.026000    -0.000002
  -23.016000    -0.000002
  -23.006000    -0.000002
  -22.996000    -0.000002
  -22.986000    -0.000002
  -22.976000    -0.000001
  -22.966000    -0.000001
  -22.956000    -0.000001
  -22.946000    -0.000001
  -22.936000    -0.000001
  -22.926000    -0.000001
  -22.916000    -0.000001
  -22.906000    -0.000001
  -22.896000    -0.000001
  -22.886000    -0.000001
  -22.876000    -0.000001
  -22.866000    -0.000001
  -22.856000    -0.000001
  -22.846000    -0.000001
  -22.836000    -0.000000
  -22.826000    -0.000000
  -22.816000    -0.000000
  -22.806000    -0.000000
  -22.796000    -0.000000
  -22.786000    -0.000000
  -22.776000    -0.000000
  -22.766000    -0.000000
