# Energy    Summed_PDOS
  -27.116000    -0.001479
  -27.106000    -0.001596
  -27.096000    -0.001722
  -27.086000    -0.001856
  -27.076000    -0.001999
  -27.066000    -0.002153
  -27.056000    -0.002318
  -27.046000    -0.002493
  -27.036000    -0.002682
  -27.026000    -0.002882
  -27.016000    -0.003096
  -27.006000    -0.003324
  -26.996000    -0.003566
  -26.986000    -0.003824
  -26.976000    -0.004103
  -26.966000    -0.004392
  -26.956000    -0.004698
  -26.946000    -0.005026
  -26.936000    -0.005383
  -26.926000    -0.005753
  -26.916000    -0.006145
  -26.906000    -0.006565
  -26.896000    -0.007015
  -26.886000    -0.007474
  -26.876000    -0.007966
  -26.866000    -0.008495
  -26.856000    -0.009035
  -26.846000    -0.009627
  -26.836000    -0.010232
  -26.826000    -0.010877
  -26.816000    -0.011564
  -26.806000    -0.012276
  -26.796000    -0.013020
  -26.786000    -0.013809
  -26.776000    -0.014641
  -26.766000    -0.015519
  -26.756000    -0.016420
  -26.746000    -0.017381
  -26.736000    -0.018382
  -26.726000    -0.019436
  -26.716000    -0.020519
  -26.706000    -0.021666
  -26.696000    -0.022859
  -26.686000    -0.024105
  -26.676000    -0.025390
  -26.666000    -0.026740
  -26.656000    -0.028148
  -26.646000    -0.029601
  -26.636000    -0.031114
  -26.626000    -0.032700
  -26.616000    -0.034306
  -26.606000    -0.035996
  -26.596000    -0.037737
  -26.586000    -0.039571
  -26.576000    -0.041406
  -26.566000    -0.043303
  -26.556000    -0.045336
  -26.546000    -0.047311
  -26.536000    -0.049387
  -26.526000    -0.051574
  -26.516000    -0.053820
  -26.506000    -0.055948
  -26.496000    -0.058317
  -26.486000    -0.060636
  -26.476000    -0.063145
  -26.466000    -0.065495
  -26.456000    -0.067996
  -26.446000    -0.070526
  -26.436000    -0.073059
  -26.426000    -0.075710
  -26.416000    -0.078361
  -26.406000    -0.080915
  -26.396000    -0.083598
  -26.386000    -0.086371
  -26.376000    -0.088954
  -26.366000    -0.091636
  -26.356000    -0.094400
  -26.346000    -0.097083
  -26.336000    -0.099645
  -26.326000    -0.102188
  -26.316000    -0.104739
  -26.306000    -0.107349
  -26.296000    -0.109729
  -26.286000    -0.112229
  -26.276000    -0.114458
  -26.266000    -0.116665
  -26.256000    -0.118831
  -26.246000    -0.120855
  -26.236000    -0.122747
  -26.226000    -0.124379
  -26.216000    -0.126038
  -26.206000    -0.127425
  -26.196000    -0.128591
  -26.186000    -0.129652
  -26.176000    -0.130323
  -26.166000    -0.130829
  -26.156000    -0.131122
